Nome,Capital,Moeda,População,Date Time
Montserrat,Plymouth,Dollar,9341,2023-09-02 16:15:28
Morocco,Rabat,Dirham,31627428,2023-09-02 16:15:28
Mozambique,Maputo,Metical,22061451,2023-09-02 16:15:28
Myanmar,Nay Pyi Taw,Kyat,53414374,2023-09-02 16:15:28
Namibia,Windhoek,Dollar,2128471,2023-09-02 16:15:28
Nauru,Yaren,Dollar,10065,2023-09-02 16:15:28
Nepal,Kathmandu,Rupee,28951852,2023-09-02 16:15:28
Netherlands,Amsterdam,Euro,16645000,2023-09-02 16:15:28
Netherlands Antilles,Willemstad,Guilder,136197,2023-09-02 16:15:28
New Caledonia,Noumea,Franc,216494,2023-09-02 16:15:28
New Zealand,Wellington,Dollar,4252277,2023-09-02 16:15:28
Nicaragua,Managua,Cordoba,5995928,2023-09-02 16:15:28
Niger,Niamey,Franc,15878271,2023-09-02 16:15:29
Nigeria,Abuja,Naira,154000000,2023-09-02 16:15:29
Niue,Alofi,Dollar,2166,2023-09-02 16:15:29
Norfolk Island,Kingston,Dollar,1828,2023-09-02 16:15:29
North Korea,Pyongyang,Won,22912177,2023-09-02 16:15:29
Northern Mariana Islands,Saipan,Dollar,53883,2023-09-02 16:15:29
Norway,Oslo,Krone,5009150,2023-09-02 16:15:29
Oman,Muscat,Rial,2967717,2023-09-02 16:15:29
Pakistan,Islamabad,Rupee,184404791,2023-09-02 16:15:29
Palau,Melekeok,Dollar,19907,2023-09-02 16:15:29
Palestinian Territory,East Jerusalem,Shekel,3800000,2023-09-02 16:15:29
Panama,Panama City,Balboa,3410676,2023-09-02 16:15:29
Papua New Guinea,Port Moresby,Kina,6064515,2023-09-02 16:15:29
Paraguay,Asuncion,Guarani,6375830,2023-09-02 16:15:30
Peru,Lima,Sol,29907003,2023-09-02 16:15:30
Philippines,Manila,Peso,99900177,2023-09-02 16:15:30
Pitcairn,Adamstown,Dollar,46,2023-09-02 16:15:30
Poland,Warsaw,Zloty,38500000,2023-09-02 16:15:30
Portugal,Lisbon,Euro,10676000,2023-09-02 16:15:30
Puerto Rico,San Juan,Dollar,3916632,2023-09-02 16:15:30
Qatar,Doha,Rial,840926,2023-09-02 16:15:30
Republic of the Congo,Brazzaville,Franc,3039126,2023-09-02 16:15:30
Reunion,Saint-Denis,Euro,776948,2023-09-02 16:15:30
Romania,Bucharest,Leu,21959278,2023-09-02 16:15:30
Russia,Moscow,Ruble,140702000,2023-09-02 16:15:30
Rwanda,Kigali,Franc,11055976,2023-09-02 16:15:30
Saint Barthelemy,Gustavia,Euro,8450,2023-09-02 16:15:31
Saint Helena,Jamestown,Pound,7460,2023-09-02 16:15:31
Saint Kitts and Nevis,Basseterre,Dollar,51134,2023-09-02 16:15:31
Saint Lucia,Castries,Dollar,160922,2023-09-02 16:15:31
Saint Martin,Marigot,Euro,35925,2023-09-02 16:15:31
Saint Pierre and Miquelon,Saint-Pierre,Euro,7012,2023-09-02 16:15:31
Saint Vincent and the Grenadines,Kingstown,Dollar,104217,2023-09-02 16:15:31
Samoa,Apia,Tala,192001,2023-09-02 16:15:31
San Marino,San Marino,Euro,31477,2023-09-02 16:15:31
Sao Tome and Principe,Sao Tome,Dobra,175808,2023-09-02 16:15:31
Saudi Arabia,Riyadh,Rial,25731776,2023-09-02 16:15:31
Senegal,Dakar,Franc,12323252,2023-09-02 16:15:31
Serbia,Belgrade,Dinar,7344847,2023-09-02 16:15:31
Serbia and Montenegro,Belgrade,Dinar,10829175,2023-09-02 16:15:31
Seychelles,Victoria,Rupee,88340,2023-09-02 16:15:32
Sierra Leone,Freetown,Leone,5245695,2023-09-02 16:15:32
Singapore,Singapur,Dollar,4701069,2023-09-02 16:15:32
Sint Maarten,Philipsburg,Guilder,37429,2023-09-02 16:15:32
Slovakia,Bratislava,Euro,5455000,2023-09-02 16:15:32
Slovenia,Ljubljana,Euro,2007000,2023-09-02 16:15:32
Solomon Islands,Honiara,Dollar,559198,2023-09-02 16:15:32
Somalia,Mogadishu,Shilling,10112453,2023-09-02 16:15:32
South Africa,Pretoria,Rand,49000000,2023-09-02 16:15:32
South Georgia and the South Sandwich Islands,Grytviken,Pound,30,2023-09-02 16:15:32
South Korea,Seoul,Won,48422644,2023-09-02 16:15:32
South Sudan,Juba,Pound,8260490,2023-09-02 16:15:33
Spain,Madrid,Euro,46505963,2023-09-02 16:15:33
Sri Lanka,Colombo,Rupee,21513990,2023-09-02 16:15:33
Sudan,Khartoum,Pound,35000000,2023-09-02 16:15:33
Suriname,Paramaribo,Dollar,492829,2023-09-02 16:15:33
